project,hours_before,hours_after,bill_before,bill_after,bill_delta,cost_before,cost_after,cost_delta,profit_before,profit_after,profit_delta
BWT Design Assistance,168.0,168.0,32940.360000000015,32944.50000000001,4.139999999992142,18435.0,14400.0,-4035.0,14505.360000000015,18544.500000000007,4039.139999999992
LTCP4,305.7489,305.7489,46669.75628400001,46678.52580000001,8.769516000000294,25218.1785,24491.1675,-727.0110000000022,21451.57778400001,22187.35830000001,735.7805160000025
Mount Vernon Flood Study,198.0,198.0,43575.0,40433.9,-3141.0999999999985,22073.0,17640.0,-4433.0,21502.0,22793.9,1291.9000000000015
